GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Rate(%),Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177408,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,a3fc82045e096c0c571d6b1d549efeab8b3773fd7b41d936d94dda5b83200a11,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177409,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,f76549b2e1625e85851824692ff6edc6225ce61a48179327f88ca343968ff4da,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177414,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,24fa9d2631b0c99f5e8ed7558d720362b8218b74109413635a25c4fb66fd23fc,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177418,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,ce070365c858bc95005ab568a24ddc1ad56390d7ec97e776747db5441db27b5e,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177420,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,f452ea5c5a3007a4e5bb083374b2dbc9273e67e6cd11e4332b84b7c2827fdb6e,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177425,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,9255268d68f8907f97188040b248ed85d810b9351889d92017ada4337fe87bfa,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177429,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,213b55545033ed571223e870926e5e9efc44fd0491b16de4db661ca1fd35000a,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177432,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,da185844b6c01153bf8cc3c3d0f7e54bcee592651703c1ad05e8f30de77746a0,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177435,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,e94938e3db5fbc54c3dea05247934bd5ba71543f51e3303d77f3e223c6a09564,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177521,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,0e295585d5aaaed4dda40dc5deb24b9703426c47d285999eae061159f79e09a9,04/01/2023,
